GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 20% Silica 
Start: 23-Aug-23  22:47:18   End: 23-Aug-23  22:57:18 
  
Foreground:  169689 , Loaded: 169687{5} 
Background:  169686 , Loaded: 169686 
Blocked Beam:  169685 , Loaded: 169685 
  
Beam Centre1 :  Cx = 65.3644  Cy = 125.6666       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.0077       Cm Translation :  Tx = 10.0624  Ty = 0 [mm] 
Transmissions:  Ts = 0.59471 +/- 0.01104  Te = 0.9931 +/- 0.015857 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 2 4 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:5 
Numor:  169689 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00167691	873.43048638	11.05174479	0.00042797
0.00189129	979.06846146	8.82140913	0.00044785
0.00211283	1081.49061267	7.13478944	0.00045777
0.00232317	1199.85164979	6.96326919	0.00046565
0.00252169	1371.99257790	7.37710598	0.00047087
0.00272407	1561.00434837	7.52243639	0.00047206
0.00292837	1783.09587906	8.01875617	0.00047082
0.00315909	2060.63433797	7.60678428	0.00047629
0.00341342	2351.76592979	8.05748763	0.00048049
0.00365040	2547.90355570	8.81846007	0.00047963
0.00389044	2599.30723525	8.06613333	0.00048578
0.00415054	2459.84089795	7.39572436	0.00049157
0.00441081	2144.63126785	6.60936280	0.00049431
0.00464853	1774.27142297	6.08266147	0.00049380
0.00487484	1404.25629027	4.96582703	0.00050050
0.00511019	1080.09927416	4.02407637	0.00050285
0.00535769	799.01215498	3.16256967	0.00050866
0.00560148	589.30002876	2.71481931	0.00051184
0.00583962	440.91652633	2.19206616	0.00051680
0.00608639	318.05148475	1.77738100	0.00052198
0.00632712	233.06135722	1.52611868	0.00052614
0.00656069	174.79175732	1.27973928	0.00053100
0.00681650	123.77007178	0.96559360	0.00053868
0.00708141	86.40965531	0.82756112	0.00054213
0.00733832	59.58703980	0.66131982	0.00054896
0.00759486	42.49779737	0.55983910	0.00055443
0.00786266	29.21338442	0.43195767	0.00056120
0.00814362	23.56979119	0.38548033	0.00056869
0.00841473	20.29914642	0.36210261	0.00057340
0.00867543	21.63626888	0.37233378	0.00057987
0.00894039	23.87960905	0.37396954	0.00058713
0.00920757	25.85631333	0.39039956	0.00059460
0.00949356	27.59478893	0.36387681	0.00060193
0.00978566	27.80516270	0.38313032	0.00060993
0.01006098	28.18851226	0.37844935	0.00061687
0.01034463	27.01926343	0.35625285	0.00062636
0.01064362	24.73638604	0.32672287	0.00063387
0.01093926	22.48608079	0.31986843	0.00064121
0.01123818	19.75889777	0.28252113	0.00065055
0.01155278	16.40360758	0.25321632	0.00066049
0.01187862	13.32650580	0.21994076	0.00067104
0.01220003	10.48270163	0.20228957	0.00067856
0.01251634	8.05211268	0.17359872	0.00068988
0.01285314	6.02585807	0.14359649	0.00070183
0.01318835	5.00966741	0.13534618	0.00070996
0.01350941	4.69091080	0.13115107	0.00072032
0.01385149	4.27454449	0.11690864	0.00073257
0.01420321	5.01109937	0.12750164	0.00074202
0.01454176	5.46272852	0.13307549	0.00075283
0.01489156	5.97308701	0.13734140	0.00076164
0.01525420	6.30614783	0.13819647	0.00077491
0.01561633	6.42315866	0.14237078	0.00078159
0.01598490	6.20535360	0.14661427	0.00079479
0.01635872	5.87777358	0.15786056	0.00080785
0.01673691	5.55327103	0.16152310	0.00082032
0.01712394	4.63722952	0.15804163	0.00083385
0.01751850	4.19657332	0.15865487	0.00084734
0.01792418	3.22974332	0.14967649	0.00086157
0.01833443	2.73609297	0.14473142	0.00087557
0.01874940	2.17152876	0.14820028	0.00089485
0.01917153	1.75705724	0.14941404	0.00090944
0.01960257	1.87302249	0.15807200	0.00092396
0.02003685	1.86057178	0.18590704	0.00093674
0.02047897	1.93401167	0.20451166	0.00095491
0.02091886	1.74682309	0.25166801	0.00097817
0.02136556	1.52097708	0.31920150	0.00099241
0.02181410	1.66271202	0.49795496	0.00101648
0.02223556	1.44118414	0.66886699	0.00112089
0.02289941	1.37141478	0.12767760	0.00155888
0.02350543	1.38760567	0.05949611	0.00157731
0.02423721	1.21224558	0.06803280	0.00160064
0.02511837	1.29338649	0.06974934	0.00162722
0.02606774	1.15444164	0.05412567	0.00164799
0.02673474	1.27607647	0.05410401	0.00166979
0.02755122	1.03735159	0.06258886	0.00169752
0.02821210	1.13747917	0.06522316	0.00171543
0.02902537	1.02194131	0.03923833	0.00173711
0.02985856	0.92955978	0.04622302	0.00176435
0.03084377	0.87562537	0.04097785	0.00179184
0.03185563	0.83932810	0.03273057	0.00181946
0.03276717	0.74437224	0.03599500	0.00184743
0.03362226	0.78428114	0.04218613	0.00187527
0.03454406	0.75153857	0.02868599	0.00190252
0.03544179	0.76865489	0.03530815	0.00193842
0.03638771	0.75308013	0.03281582	0.00196980
0.03736477	0.68841423	0.02689544	0.00199489
0.03819442	0.76532657	0.03178918	0.00201742
0.03916596	0.74625079	0.03151907	0.00204898
0.04023263	0.71546631	0.02336123	0.00208895
0.04133122	0.67852276	0.02666996	0.00212456
0.04248835	0.70537812	0.02572960	0.00216459
0.04336697	0.69942888	0.02505196	0.00219603
0.04439514	0.65016906	0.02476583	0.00222976
0.04553020	0.64798997	0.02249585	0.00226839
0.04658041	0.72513726	0.02242024	0.00230248
0.04778131	0.67938657	0.02436834	0.00234291
0.04889827	0.68083239	0.01939261	0.00238424
0.05012336	0.72004174	0.02409013	0.00242982
0.05127892	0.65828800	0.01994032	0.00246408
0.05237235	0.70197214	0.02109299	0.00250754
0.05365334	0.67258146	0.02036374	0.00254794
0.05474064	0.69058049	0.01924493	0.00259230
0.05595502	0.66669816	0.02105559	0.00263273
0.05714200	0.67256180	0.01800228	0.00268069
0.05846543	0.68803124	0.01820386	0.00273444
0.05990788	0.67098745	0.01660118	0.00278068
0.06117219	0.68174534	0.01888327	0.00283140
0.06261273	0.65160800	0.01537327	0.00287622
0.06401243	0.69619053	0.01726029	0.00293394
0.06546169	0.69779383	0.01636480	0.00297950
0.06677634	0.66632446	0.01629608	0.00303142
0.06824871	0.64985568	0.01538712	0.00309295
0.06966894	0.65274938	0.01496510	0.00314124
0.07122064	0.67198842	0.01489388	0.00320046
0.07269579	0.68073425	0.01480911	0.00325942
0.07431837	0.65950169	0.01357812	0.00331660
0.07585873	0.67447929	0.01507862	0.00337995
0.07738937	0.67423794	0.01335302	0.00344157
0.07908365	0.68165269	0.01361198	0.00350281
0.08071655	0.66822764	0.01267896	0.00356320
0.08247269	0.66887656	0.01329884	0.00363631
0.08408247	0.65558989	0.01267351	0.00369142
0.08589804	0.66109482	0.01192210	0.00376719
0.08762998	0.67380155	0.01310435	0.00383620
0.08937266	0.66072658	0.01126392	0.00390359
0.09133632	0.66701230	0.01166784	0.00397534
0.09315993	0.68047437	0.01169420	0.00404888
0.09505523	0.68388852	0.01102740	0.00412773
0.09710719	0.67113209	0.01086913	0.00420122
0.09898603	0.67420240	0.01129264	0.00427925
0.10098598	0.65837831	0.01007351	0.00436067
0.10312890	0.67670316	0.01044166	0.00444313
0.10516875	0.67150379	0.01026660	0.00452706
0.10727254	0.67196564	0.00980144	0.00460257
0.10950714	0.65925631	0.00951499	0.00469570
0.11172046	0.65199087	0.00948148	0.00478665
0.11392209	0.66483667	0.00941681	0.00487533
0.11617182	0.65955071	0.00906119	0.00495994
0.11854448	0.64970269	0.00873155	0.00504852
0.12098255	0.65481620	0.00857764	0.00514112
0.12341487	0.66637361	0.00864016	0.00524185
0.12583833	0.65458854	0.00833985	0.00534159
0.12826200	0.65546882	0.00839295	0.00542969
0.13079508	0.65273543	0.00785220	0.00553485
0.13344228	0.65533244	0.00783752	0.00564412
0.13613607	0.64807222	0.00751204	0.00575386
0.13889340	0.64541899	0.00746794	0.00586621
0.14160805	0.63697290	0.00740457	0.00597870
0.14438972	0.63829167	0.00710293	0.00607858
0.14727771	0.63644525	0.00698910	0.00619427
0.15021580	0.64040675	0.00684222	0.00631610
0.15318066	0.63163827	0.00674897	0.00643876
0.15618798	0.64031067	0.00659271	0.00656219
0.15924451	0.62819907	0.00653528	0.00668625
0.16236475	0.63117317	0.00640856	0.00680571
0.16557405	0.62519363	0.00638609	0.00693857
0.16878234	0.62464583	0.00634477	0.00707092
0.17210463	0.63587594	0.00622170	0.00720711
0.17546839	0.62447281	0.00625342	0.00734328
0.17890541	0.61565650	0.00609189	0.00748036
0.18244720	0.61500736	0.00613409	0.00762692
0.18602646	0.61604324	0.00616074	0.00777475
0.18963301	0.61304479	0.00617138	0.00792322
0.19334911	0.61157630	0.00605672	0.00806568
0.19717288	0.62017992	0.00603641	0.00822225
0.20104647	0.61247121	0.00609099	0.00838250
0.20491910	0.60059886	0.00602658	0.00854251
0.20891158	0.60231022	0.00585812	0.00870731
0.21300310	0.61323309	0.00600823	0.00887543
0.21716327	0.60531563	0.00585538	0.00904502
0.22137603	0.60725680	0.00587373	0.00921272
0.22570012	0.59187784	0.00574647	0.00939155
0.23008871	0.60902111	0.00576030	0.00956385
0.23461263	0.60584972	0.00571745	0.00975035
0.23910971	0.59681091	0.00571736	0.00993543
0.24378042	0.59855776	0.00555800	0.01012704
0.24848190	0.58846152	0.00561007	0.01031770
0.25331237	0.59479409	0.00543421	0.01051749
0.25830984	0.59921559	0.00550362	0.01072402
0.26331448	0.60113060	0.00545402	0.01093069
0.26837473	0.59275352	0.00541816	0.01113950
0.27356977	0.59189989	0.00531190	0.01135367
0.27892460	0.59213423	0.00526955	0.01156510
0.28433411	0.60042041	0.00530948	0.01178656
0.28984733	0.59738156	0.00520902	0.01201144
0.29549228	0.59010939	0.00516311	0.01224468
0.30101850	0.59017038	0.00594072	0.01247274
0.30685728	0.59120352	0.00683741	0.01271354
0.31279679	0.60738012	0.00791485	0.01295835
0.31884569	0.59969922	0.00932698	0.01320740
0.32495885	0.59558143	0.01158064	0.01345349
0.33102615	0.59584530	0.01733845	0.01370171
0.33669764	0.57927265	0.03608134	0.01392478
