GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 10% Silica 
Start: 24-Aug-23  00:31:28   End: 24-Aug-23  00:36:28 
  
Foreground:  169705 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.69066 +/- 0.006932  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 3 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169705 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00272172	1986.55280177	10.97799730	0.00078731
0.00319474	1859.86518840	6.07178302	0.00088390
0.00366965	1702.93950501	4.70930027	0.00089081
0.00414327	1384.15393291	3.72605664	0.00089603
0.00458226	1056.96056864	3.18353387	0.00089590
0.00498273	774.97850857	2.48570109	0.00089525
0.00542912	511.94458430	1.61965420	0.00090873
0.00588706	321.59666349	1.28170210	0.00091017
0.00630323	197.40879266	0.93767247	0.00091616
0.00671498	117.19998993	0.68748175	0.00091907
0.00713090	65.81137639	0.48673696	0.00092567
0.00755704	35.31276087	0.33850997	0.00093117
0.00800157	20.03973099	0.24074511	0.00093752
0.00846313	14.31962430	0.19575544	0.00094478
0.00891711	14.22875229	0.19535336	0.00095140
0.00936078	15.99047741	0.20074183	0.00095457
0.00979898	17.59778526	0.20941747	0.00096431
0.01023060	17.57542652	0.20472619	0.00097170
0.01065650	17.12087558	0.19994054	0.00097854
0.01109196	14.69690022	0.17577183	0.00098850
0.01157029	11.33468748	0.14201452	0.00100196
0.01203953	8.38768747	0.13075795	0.00100506
0.01247554	6.04724784	0.10759731	0.00101632
0.01292500	4.32325122	0.08847470	0.00102717
0.01337917	3.47087701	0.07841961	0.00103524
0.01388509	3.21421968	0.06683361	0.00104751
0.01443181	3.61196308	0.07027116	0.00106036
0.01497947	3.91174168	0.07072515	0.00107600
0.01549965	4.17794296	0.07709510	0.00108415
0.01598184	4.06058018	0.07492448	0.00109545
0.01646613	3.75988150	0.07065159	0.00110677
0.01695976	3.25903302	0.06398739	0.00111895
0.01746602	2.80351934	0.05787742	0.00113555
0.01801895	2.19961526	0.04731404	0.00115125
0.01858054	1.73866028	0.04371995	0.00116300
0.01910770	1.37731638	0.03929560	0.00117694
0.01965039	1.27214850	0.03573880	0.00119381
0.02023706	1.21392736	0.03323686	0.00121371
0.02082713	1.22275141	0.03371317	0.00122796
0.02139010	1.20702085	0.03338414	0.00124134
0.02196818	1.18018301	0.03148575	0.00125904
0.02255653	1.09061412	0.03063430	0.00127736
0.02313200	1.02593161	0.02940316	0.00129457
0.02371583	0.93732288	0.02755995	0.00131194
0.02431045	0.92279424	0.02687563	0.00132953
0.02491384	0.89409305	0.02568607	0.00134847
0.02555525	0.84481683	0.02373763	0.00137305
0.02620400	0.83164032	0.02400878	0.00138961
0.02685413	0.84288921	0.02300690	0.00141309
0.02751624	0.81058020	0.02275031	0.00143252
0.02817524	0.76633198	0.02149900	0.00144899
0.02886832	0.67984234	0.01991527	0.00147605
0.02960799	0.68563190	0.02064257	0.00148535
0.03033441	0.67153302	0.02180432	0.00150870
0.03104727	0.64134426	0.02273118	0.00153392
0.03176368	0.62154000	0.02438478	0.00155848
0.03249423	0.60431312	0.02478785	0.00159207
0.03325110	0.67533347	0.02785102	0.00161788
0.03400926	0.60156925	0.02818198	0.00164449
0.03477287	0.59814078	0.02963014	0.00167081
0.03556236	0.57667839	0.03033292	0.00169763
0.03636787	0.62008638	0.03432727	0.00172567
0.03717364	0.57282386	0.03553612	0.00175309
0.03800250	0.65331459	0.04109530	0.00179090
0.03884160	0.53430470	0.04266137	0.00181544
0.03968737	0.57776261	0.05087401	0.00185625
0.04054383	0.52026151	0.06159703	0.00188558
0.04134171	0.55405988	0.10427958	0.00192306
0.04209943	0.74398286	0.25700611	0.00228343
0.04357281	0.46806024	0.02687140	0.00299610
0.04504400	0.50955997	0.01615507	0.00302280
0.04644673	0.50363232	0.01969837	0.00306757
0.04813570	0.52840244	0.02010218	0.00311850
0.04995502	0.53374099	0.01648482	0.00315829
0.05123348	0.51528384	0.01535647	0.00320006
0.05287986	0.54484153	0.01895371	0.00325694
0.05443269	0.51073753	0.01832405	0.00329920
0.05591854	0.54139658	0.01242038	0.00334216
0.05760077	0.50808208	0.01601383	0.00339849
0.05916830	0.51512235	0.01619605	0.00343640
0.06099417	0.51769158	0.01114355	0.00348538
0.06278691	0.49460442	0.01313859	0.00354080
0.06458726	0.52431800	0.01413518	0.00359981
