GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 20% Silica 
Start: 24-Aug-23  00:36:31   End: 24-Aug-23  00:41:32 
  
Foreground:  169706 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.68823 +/- 0.0069201  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 4 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169706 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00272172	1567.30588841	9.17550206	0.00078731
0.00319474	1882.24152153	6.14213185	0.00088390
0.00366965	2110.41050744	5.57054029	0.00089081
0.00414327	2005.20257571	4.94636795	0.00089603
0.00458226	1673.72366941	4.46973779	0.00089590
0.00498273	1271.36496255	3.52426857	0.00089525
0.00542912	824.65595730	2.21902793	0.00090873
0.00588706	485.22361399	1.64920439	0.00091017
0.00630323	283.61624329	1.15536171	0.00091616
0.00671498	163.09784809	0.82412506	0.00091907
0.00713090	92.50563317	0.58296315	0.00092567
0.00755704	50.28027417	0.40617394	0.00093117
0.00800157	28.06879708	0.28571563	0.00093752
0.00846313	19.26074772	0.22722808	0.00094478
0.00891711	18.83662572	0.22505485	0.00095140
0.00936078	20.68460545	0.22880922	0.00095457
0.00979898	22.91334119	0.23947699	0.00096431
0.01023060	22.98086240	0.23470237	0.00097170
0.01065650	21.36497122	0.22384035	0.00097854
0.01109196	18.58696811	0.19808429	0.00098850
0.01157029	15.08018714	0.16405157	0.00100196
0.01203953	11.39844481	0.15247991	0.00100506
0.01247554	8.09732083	0.12439355	0.00101632
0.01292500	6.08427986	0.10469941	0.00102717
0.01337917	4.83730655	0.09223031	0.00103524
0.01388509	4.19145141	0.07612561	0.00104751
0.01443181	4.59531447	0.07916255	0.00106036
0.01497947	5.09619372	0.08057209	0.00107600
0.01549965	5.60285731	0.08909947	0.00108415
0.01598184	5.45008902	0.08665189	0.00109545
0.01646613	5.10895781	0.08218828	0.00110677
0.01695976	4.57423325	0.07563429	0.00111895
0.01746602	3.83263600	0.06745533	0.00113555
0.01801895	3.01839549	0.05516462	0.00115125
